1INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
1	20210112	한국어	교통	위치안내	위치안내	1100	고지	방문	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210112	1100	구름조금
2	20210112	한국어	교통	위치안내	기타	1100	고지	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210112	1100	구름조금
3	20210129	한국어	교통	위치안내	기타	1100	고지	제주	방문	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
4	20210118	한국어	교통	위치안내	기타	1100	고지	제주	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
5	20210114	한국어	교통	위치안내	기타	1100	고지	통제	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
6	20210114	한국어	교통	위치안내	기타	1100	고지	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
7	20210110	한국어	교통	위치안내	기타	1100	고지	통제	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210110	1100	구름많음
8	20210113	한국어	교통	위치안내	기타	1100	고지	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
9	20210111	한국어	교통	위치안내	기타	1100	고지	통제	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210111	1100	비
10	20210107	한국어	교통	위치안내	기타	1100	고지	문자	제주	관광정보	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210107	1100	눈
11	20210113	한국어	교통	위치안내	기타	1100	고지	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
12	20210114	한국어	교통	위치안내	기타	1100	고지	문자	안전	제주	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
13	20210114	한국어	교통	위치안내	기타	1100	고지	방문	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
14	20210114	한국어	교통	위치안내	기타	1100	고지	통제	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
15	20210102	한국어	교통	위치안내	위치안내	1100	고지	국립공원	폐쇄	탐방	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210102	1100	구름많음
16	20210118	한국어	교통	위치안내	기타	1100	고지	안전	제주	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
17	20210113	한국어	교통	위치안내	기타	1100	고지	통제	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
18	20210115	한국어	교통	위치안내	기타	1100	고지	이용	도로	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210115	1100	구름조금
19	20210113	한국어	교통	위치안내	기타	1100	고지	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
20	20210101	한국어	교통	위치안내	기타	1100	고지	우도	제주	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
21	20210101	한국어	교통	위치안내	기타	1100	고지	오름	탐방	이용	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210101	1100	흐림
22	20210102	한국어	교통	위치안내	위치안내	1100	고지	국립공원	폐쇄	탐방	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210102	1100	구름많음
23	20210113	한국어	교통	위치안내	기타	1100	고지	방문	통제	1100고지	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
24	20210113	한국어	교통	위치안내	기타	1100	고지	방문	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
25	20210115	한국어	교통	버스	이용안내	1100	고지	중문	버스	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210115	1100	구름조금
26	20210101	한국어	교통	위치안내	기타	1100	교통	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
27	20210113	한국어	교통	위치안내	기타	1100	교통	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
28	20210101	한국어	교통	위치안내	기타	1100	교통	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
29	20210114	한국어	교통	위치안내	기타	1100	교통	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210114	1100	맑음
30	20210129	한국어	교통	위치안내	기타	1100	제주	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
31	20210129	한국어	교통	위치안내	기타	1100	제주	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
32	20210129	한국어	교통	위치안내	기타	1100	안전	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
33	20210129	한국어	교통	위치안내	기타	1100	제주	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
34	20210115	한국어	교통	위치안내	기타	1100	드라이브	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210115	1100	구름조금
35	20210118	한국어	교통	위치안내	기타	1100	제주	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
36	20210117	한국어	교통	위치안내	기타	1100	서귀포	제주	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210117	1100	구름많음
37	20210129	한국어	교통	위치안내	기타	1100	제주	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
38	20210109	한국어	교통	위치안내	기타	1100	비자림	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210109	1100	눈
39	20210118	한국어	교통	위치안내	기타	1100	제주	이용	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
40	20210117	한국어	교통	위치안내	기타	1100	문자	제주	관광정보	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210117	1100	구름많음
41	20210118	한국어	교통	위치안내	기타	1100	유선	제주	관광정보	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
42	20210129	한국어	교통	위치안내	기타	1100	국립공원	한라산	한라	교통	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	1100	맑음
43	20210111	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210111	1100	비
44	20210112	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210112	1100	구름조금
45	20210113	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
46	20210112	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210112	1100	구름조금
47	20210110	한국어	교통	위치안내	위치안내	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210110	1100	구름많음
48	20210113	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
49	20210101	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
50	20210118	한국어	교통	위치안내	위치안내	1100	통제	도로	체인		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	1100	구름조금
51	20210101	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
52	20210115	한국어	교통	위치안내	기타	1100	통제	도로	결빙		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210115	1100	구름조금
53	20210109	한국어	교통	위치안내	위치안내	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210109	1100	눈
54	20210113	한국어	교통	위치안내	기타	1100	통제	도로	평화로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
55	20210114	한국어	교통	버스	이용안내	1100	통제	버스	도로	평화로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210114	1100	맑음
56	20210112	한국어	교통	위치안내	기타	1100	이용	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210112	1100	구름조금
57	20210113	한국어	교통	위치안내	기타	1100	이용	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210113	1100	구름조금
58	20210101	한국어	교통	위치안내	기타	1100	이용	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	1100	흐림
59	20210107	한국어	교통	위치안내	기타	1100	이용	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210107	1100	눈
60	20210111	한국어	교통	위치안내	기타	1100	비자림	이용	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210111	1100	비
61	20210107	한국어	교통	항공&배편	도내배편	마라도	우도	가파도			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210107	마라도	눈
62	20210121	한국어	교통	항공&배편	도내배편	마라도	우도	유선	할인	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210121	마라도	비
63	20210121	한국어	교통	항공&배편	도내배편	마라도	우도	유선	할인	이용	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210121	마라도	비
64	20210121	한국어	교통	항공&배편	도내배편	마라도	우도	유선	할인	이용	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210121	마라도	비
65	20210122	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210122	성산	비
66	20210126	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210126	성산	비
67	20210112	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210112	성산	비
68	20210111	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210111	성산	비
69	20210119	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210119	성산	맑음
70	20210120	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210120	성산	구름많음
71	20210121	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210121	성산	비
72	20210105	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210105	성산	흐림
73	20210114	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210114	성산	맑음
74	20210115	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210115	성산	구름조금
75	20210113	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210113	성산	구름조금
76	20210104	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210104	성산	구름조금
77	20210129	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210129	성산	비
78	20210107	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210107	성산	비
79	20210108	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210108	성산	비
80	20210106	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210106	성산	비
81	20210129	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210129	성산	비
82	20210117	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	가파도	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210117	성산	비
83	20210101	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210101	성산	비
84	20210123	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210123	성산	비
85	20210123	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210123	성산	비
86	20210124	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210124	성산	구름많음
87	20210127	한국어	교통	항공&배편	도내배편	성산	우도	성산항	시간표	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210127	성산	맑음
88	20210131	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210131	성산	비
89	20210109	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210109	성산	비
90	20210117	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210117	성산	비
91	20210118	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210118	성산	구름많음
92	20210123	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210123	성산	비
93	20210123	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210123	성산	비
94	20210130	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210130	성산	구름조금
95	20210115	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210115	성산	구름조금
96	20210106	한국어	교통	버스	버스운영정보	성산	일출봉	성산항	제주	제주공항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210106	성산	비
97	20210127	한국어	교통	항공&배편	도내배편	성산	우도	숙박	성산항	방문	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210127	성산	맑음
98	20210124	한국어	교통	항공&배편	도내배편	성산	우도	숙박	성산항	문의처	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210124	성산	구름많음
