INDEX	RCEPT_DE	LANG_FLAG_NM	CNSLT_LCLAS_NM	CNSLT_MLSFC_NM	CNSLT_SCLAS_NM	CNSLT_KWRD_RN1_NM	CNSLT_KWRD_RN2_NM	CNSLT_KWRD_RN3_NM	CNSLT_KWRD_RN4_NM	CNSLT_KWRD_RN5_NM	CNSLT_TY_NM	TOUR_PURPS_NM	COURS_NM	CSTMR_INCLN_NM	CHNNEL_FLAG_NM	TALK_FLAG_NM	STATE_NM	UPDT_DE	관광지	기상
119	20210218	한국어	교통	위치안내	기타	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
120	20210218	한국어	교통	위치안내	위치안내	1100	통제	도로			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
121	20210217	한국어	교통	위치안내	기타	1100	교통	통제	도로	체인	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210217	1100	눈
122	20210219	한국어	교통	위치안내	위치안내	1100	도로통제	통제	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210219	1100	맑음
123	20210218	한국어	교통	위치안내	기타	1100	제주	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
124	20210219	한국어	교통	위치안내	기타	1100	제주	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210219	1100	맑음
125	20210219	한국어	교통	기타	기타	1100	제주	교통	통제	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210219	1100	맑음
126	20210218	한국어	교통	위치안내	위치안내	1100	고지	탐방	방문	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
127	20210218	한국어	교통	위치안내	위치안내	1100	제주	관광정보	교통	통제	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
128	20210218	한국어	교통	위치안내	위치안내	1100	도로	체인			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
129	20210217	한국어	교통	위치안내	위치안내	1100	도로	체인			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210217	1100	눈
130	20210218	한국어	교통	위치안내	위치안내	1100	도로				일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	1100	눈
131	20210226	한국어	교통	버스	이용안내	1100	중문	버스	도로		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210226	1100	비
132	20210217	한국어	교통	위치안내	기타	1100	문자	제주	관광정보	도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210217	1100	눈
133	20210211	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210211	성산	흐림
134	20210223	한국어	교통	항공&배편	도내배편	성산	우도	유선			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210223	성산	구름많음
135	20210217	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210217	성산	비
136	20210206	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210206	성산	구름조금
137	20210218	한국어	교통	항공&배편	도내배편	성산	우도	서귀포	이용	일주도로	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	성산	비
138	20210223	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210223	성산	구름많음
139	20210220	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	시간표	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210220	성산	맑음
140	20210215	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210215	성산	구름많음
141	20210215	한국어	교통	항공&배편	도내배편	성산	우도	왕복	성산항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210215	성산	구름많음
142	20210228	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210228	성산	비
143	20210216	한국어	교통	항공&배편	도내배편	성산	우도	성산항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210216	성산	비
144	20210212	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210212	성산	구름많음
145	20210224	한국어	교통	항공&배편	도내배편	성산	우도	성산항	종달리항	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210224	성산	구름조금
146	20210215	한국어	교통	항공&배편	도내배편	성산	우도	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210215	성산	구름많음
147	20210227	한국어	교통	항공&배편	도내배편	성산	우도	성산항	이용	시간표	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210227	성산	흐림
148	20210226	한국어	교통	항공&배편	도내배편	성산	우도	성산항			일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210226	성산	비
149	20210215	한국어	교통	항공&배편	도내배편	성산	연락처	우도	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210215	성산	구름많음
150	20210215	한국어	교통	항공&배편	도내배편	성산	연락처	우도	성산항	이용	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210215	성산	구름많음
151	20210218	한국어	교통	항공&배편	도내배편	성산	안내소	우도	관광안내소	문의처	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210218	성산	비
152	20210227	한국어	교통	항공&배편	도내배편	성산	안내소	우도	관광안내소	운항	일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210227	성산	흐림
153	20210227	한국어	교통	항공&배편	도내배편	성산	안내소	우도	이용	관광안내소	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210227	성산	흐림
154	20210214	한국어	교통	버스	이용안내	성산	소요시간	우도	버스	성산포항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210214	성산	비
155	20210211	한국어	교통	항공&배편	도내배편	성산	선사	안내소	우도	성산항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210211	성산	흐림
156	20210217	한국어	교통	항공&배편	도내배편	성산	연락처	안내소	우도	성산항	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210217	성산	비
157	20210210	한국어	교통	항공&배편	도내배편	성산	연락처	안내소	우도	유선	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210210	성산	구름많음
158	20210228	한국어	교통	항공&배편	도내배편	성산	연락처	안내소	우도	관광안내소	일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210228	성산	비
159	20210221	한국어	교통	위치안내	위치안내	성산	성산항	도보	여객터미널		일반	휴양 및 관광	홈페이지	일반	전화	인바운드	완료	20210221	성산	맑음
160	20210214	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210214	성산	비
161	20210205	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210205	성산	비
162	20210218	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210218	성산	비
163	20210209	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210209	성산	구름조금
164	20210210	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210210	성산	구름많음
165	20210219	한국어	교통	항공&배편	도내배편	성산	성산항	종달리항	운항		일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210219	성산	맑음
166	20210220	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210220	성산	맑음
167	20210204	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210204	성산	비
168	20210226	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210226	성산	비
169	20210201	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210201	성산	비
170	20210211	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210211	성산	흐림
171	20210212	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210212	성산	구름많음
172	20210213	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210213	성산	구름조금
173	20210225	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210225	성산	비
174	20210217	한국어	교통	항공&배편	도내배편	성산	성산항	운항			일반	휴양 및 관광	홈페이지	일반	전화	아웃바운드	완료	20210217	성산	비
